tag-id,animal-id,animal-taxon,animal-life-stage,animal-sex,attachment-type,duty-cycle,manipulation-type,tag-manufacturer-name
267,Salif Keita,Loxodonta africana,40 years old,m,collar,1 fix per hour,none,Followit
444,Habiba,Loxodonta africana,14 years old,f,collar,1 fix every 15 min,none,Savannah Tracking
